['cup', 'color_white', 'dampness_damp', 'dimension_narrow_short_small_thick', 'material_ceramic', 'physical_fragile_hard', 'price_expensive', 'room_bathroom', 'shape_curved_hollow', 'size_small', 'fullness_half', 'place_on_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_white', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_normal', 'room_bathroom', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_in_cup_holder', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_damp', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_dirty', 'room_bathroom', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_in_trash_can', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_dry', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_normal', 'room_bathroom', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_on_counter', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_dry', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_clean', 'room_bathroom', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_on_organizer', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_damp', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'room_bathroom', 'shape_curved_flat_hollow', 'size_medium', 'fullness_half', 'place_on_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_wet', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_dirty', 'room_bathroom', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_in_bin', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_wet', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_normal', 'room_kitchen', 'shape_curved_flat_hollow', 'size_medium', 'fullness_full', 'place_on_counter', 'temperature_hot', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_dry', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_clean', 'room_kitchen', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_damp', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_in_trash_can', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_dry', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_clean', 'room_kitchen', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_wet', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_normal', 'room_kitchen', 'shape_curved_flat_hollow', 'size_medium', 'fullness_half', 'place_on_counter', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_dry', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_in_trash_can', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_brown', 'dampness_wet', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_brown', 'dampness_dry', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_shelf', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_brown', 'dampness_wet', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_in_cup_holder', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_brown', 'dampness_wet', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_counter', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_brown', 'dampness_dry', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_shelf', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_brown', 'dampness_dry', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_counter', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_brown', 'dampness_dry', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_brown', 'dampness_wet', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_brown', 'dampness_dry', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_counter', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_brown', 'dampness_dry', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cupboard', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_brown', 'dampness_dry', 'dimension_long_shallow_thick_wide', 'material_wood', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_storage', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_next_napkin', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_damp', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_sideboard', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_windowsill', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_floor', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_counter', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_long', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_damp', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_counter', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_tray', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_damp', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_dish', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_damp', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_chair', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_damp', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_damp', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_rack', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_next_coffee_maker', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_dry', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_counter', 'temperature_cold', 'transparency_opaque', 'weight_medium']
['cup', 'color_black_silver', 'dampness_wet', 'dimension_big_deep_long_thick', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_dirty', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_dresser', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_clean', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_shelf', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_damp', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_dirty', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_damp', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_dirty', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_shelf', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_damp', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_normal', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_damp', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_sink', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_counter', 'temperature_hot', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_big', 'material_glass', 'physical_fragile_soft', 'price_medium', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_sink', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_dirty', 'room_dining_room', 'shape_curved_hollow', 'size_large', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_dry', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_large', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_wet', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow', 'size_large', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_dry', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow', 'size_large', 'place_on_floor', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_wet', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow', 'size_large', 'fullness_half', 'place_on_plate', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_wet', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow', 'size_large', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_dry', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_large', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_dry', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_normal', 'room_kitchen', 'shape_curved_hollow', 'size_large', 'fullness_full', 'place_on_counter', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_dry', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_large', 'fullness_empty', 'place_in_sink', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_dry', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_normal', 'room_kitchen', 'shape_curved_hollow', 'size_large', 'fullness_half', 'place_on_counter', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_damp', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_large', 'fullness_empty', 'place_in_sink', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_wet', 'dimension_short_small_thick_wide', 'material_glass', 'physical_fragile_hard', 'price_medium', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_large', 'fullness_empty', 'place_in_dishwasher', 'temperature_hot', 'transparency_transparent', 'weight_heavy']
['cup', 'color_clear', 'dampness_damp', 'dimension_long_thick_wide', 'material_plastic', 'physical_hard', 'price_cheap', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow', 'size_small', 'fullness_full', 'place_on_table', 'temperature_cold', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_thick_wide', 'material_plastic', 'physical_hard', 'price_cheap', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_small', 'fullness_full', 'place_on_tray', 'temperature_cold', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_thick_wide', 'material_plastic', 'physical_hard', 'price_cheap', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_small', 'fullness_empty', 'place_on_counter', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_thick_wide', 'material_plastic', 'physical_hard', 'price_cheap', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_small', 'fullness_full', 'place_on_table', 'temperature_cold', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_thick_wide', 'material_plastic', 'physical_hard', 'price_cheap', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_small', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_thick_wide', 'material_plastic', 'physical_hard', 'price_cheap', 'room_dining_room', 'shape_curved_hollow', 'size_small', 'fullness_half', 'place_on_table', 'temperature_cold', 'transparency_transparent', 'weight_medium']
